"salesorderid","quantidadedelinhas"
61194,3
44127,22
47439,54
55275,36
44568,3
59076,5
63214,44
47002,11
50214,32
49488,23
44559,20
48763,17
44515,7
61257,8
55299,36
48037,12
49093,19
46098,12
50250,7
59073,8
49109,5
48774,5
43679,3
48766,40
71907,21
71836,48
45815,14
46657,56
51799,3
51112,31
57082,20
71822,42
67278,43
51748,64
49482,5
47441,37
57151,3
69405,7
63251,24
69415,16
45044,6
59010,46
44784,4
57028,9
61211,21
58968,9
46663,19
71791,13
49521,29
71854,36
71871,7
53490,5
47986,51
43898,28
49862,7
49130,3
45571,21
59061,6
57131,25
69440,3
49048,4
51710,13
48308,7
48359,47
55249,61
63198,4
47397,21
58961,46
57148,10
43685,4
57134,23
71806,30
49840,3
44535,14
67317,8
57127,17
53593,3
50218,42
50737,5
51769,33
49878,10
49170,8
47980,33
51715,31
71812,26
44316,6
65253,12
49166,21
48071,27
48790,3
47428,4
51130,40
51153,35
48336,56
67339,30
63127,9
45055,17
71897,8
44091,7
43659,12
61249,20
46622,20
55263,14
49106,8
48350,20
46974,54
71937,3
48393,38
57074,19
55326,5
55261,32
49887,7
48364,7
63191,6
48048,51
44527,5
44505,8
46086,28
45545,8
53562,52
46088,10
65278,16
44567,12
63137,4
46363,17
53527,59
48383,4
51106,36
50703,46
44295,9
43680,15
57081,5
44501,20
57065,55
49477,6
67307,4
71788,3
65161,5
45074,24
50203,36
53533,31
61255,4
46940,56
48730,22
46971,18
48786,43
46344,25
65200,32
55283,38
48769,36
44484,5
63136,25
71895,3
44799,10
51702,3
44487,8
45301,27
57172,4
51092,49
63249,18
49487,4
48332,25
44099,6
51806,26
63233,33
67331,8
44541,10
63167,16
46356,36
61210,27
45792,10
50316,8
44800,6
61221,3
55258,9
45075,4
53598,8
44545,8
48022,4
69425,3
65313,3
69397,26
63255,3
58914,29
47353,24
51099,8
67309,6
47360,3
71913,9
47391,34
55243,42
47058,3
71851,52
57099,40
45565,15
51731,21
45561,18
44783,16
51800,9
48326,3
71803,45
65155,26
53581,6
61229,45
53537,7
53616,48
55309,36
48351,27
63124,16
51108,52
47990,46
48050,24
61197,4
61177,25
47452,18
47443,18
50725,9
44561,10
47003,19
69475,43
55287,32
69490,3
46352,4
67318,10
47052,41
44131,10
50275,4
53535,37
51088,35
47350,7
69391,3
57111,4
48761,36
45522,18
44312,4
50736,8
58960,4
69556,3
57063,3
71792,28
48012,52
44112,5
49053,43
48295,56
44092,8
71858,17
58952,4
57056,7
58996,21
44778,21
49833,39
47730,22
46330,17
59071,29
59058,37
55254,43
43667,4
51834,20
59063,40
53583,45
55323,39
45342,9
51824,44
53568,9
49099,28
65258,16
44523,17
49068,6
46327,11
71889,35
53574,14
47007,4
46613,3
49479,44
51741,7
48087,31
46633,41
69410,13
46943,14
58963,50
51705,18
49838,8
69515,26
45807,4
53604,4
44555,22
44078,8
58938,5
58931,53
69421,18
63189,3
69447,36
65281,18
47981,4
45334,10
51083,21
49039,5
71786,4
58916,11
49104,27
53550,10
65205,28
46351,7
65273,22
49871,7
59029,31
71886,43
63222,18
57097,35
61200,23
50707,8
45304,6
47049,33
61188,25
71891,5
67294,39
50745,31
45575,28
43846,4
71878,3
46649,20
67284,31
48051,24
45578,3
69449,24
46655,32
48073,6
47719,8
59049,4
69495,5
45533,3
45336,10
44509,32
43916,14
51149,11
48371,8
48055,3
55314,5
65162,4
49870,52
46970,40
53612,4
44551,15
